Npts=20, Emin=0(0.000735), Emax=1197(0.4406325), step=63

k                                                                                                                                                                                                                                   E (rydbergs)
-0.3495596913592331510882466001302961679240692864371934050148444271414465244082000158983850216756193436-0.3187497725930744996551689062279818460910458816166393859539847967725732414246005449933408203866939318j                     0.02059056029502563227184035028293865586787475682214514974404999829144771442880369766812193857046089961+0.222844144256921752113425252852759862663025921099536124036804627398818080074815234918895143055793095j
-0.2869770887811758459682766179840574177439310833683757073667008054582879587135296147993961300100934145+0.3151072802931369360945457867599849178655899042228748713509493603225085233607399884227447480670836808j                     -0.01693674860841868169244072396633644834295862632359277342316921919469069958554262296790324379710184-0.1808571399045568411188178959716205777467132392775549819662440938601156610472991556717152787257563889j
-0.2768441234495504065728748858285351922526852158729955928917939124829230949693374969650991850570920427-0.001179337678550950336679545743114784675226032525892073324689550612644504581337196154533735541485396812j                   0.07664127785118985536135172526800197184459082809520067865550079769382975606280917166875681461455876979+0.0006529854117389309793077874535685754869093342421293703071160772982966215868754125706632473408273651528j
-0.2754341899093108046511725212274529510128688254640281714169280067303292202209150894219996749721797291+0.3903132567299746670992067253754502484205011383449740565346911296943334368358013145715536294618447934j                     -0.07648044540816082487596551658127688924419799848241105130476026024893167488325491802685924726656217698-0.2150112313565708519323358596802011944014191021877372078886643788857133713537258981595311144961002506j
-0.2518458039335396741806847046495639763146819318463307530673816852223843099480283719284453143880060431-0.3354792442908125929856546089886853819552743861046274291610895278801372100010713160706363488423980462j                     -0.04912001439100380614130405004236605825640503963730921205263143480580678588641607081834678826149527314+0.1689780799628720948252237398061471469209057462854243600833162306377932371376679280988772796652152179j
-0.2019622564909802228508337156958087825817610295242376444467691214470775637479696854127984150380934799+0.3772395318812621601494968698069708886255548298202279393903784380735820355285164020812342452071073071j                     -0.1015209113670653265845733363790263450241281912499521916174047315206116034462352921351715868976278029-0.1523762941926815588448639414788709070964185691332655338882434127274667939836239723518217464341354783j
-0.1520463586151485087219680246891114306212018177431542327155157119915153515988536950997917846820700586-0.2906940186614560097140326685656000994791314742250892178234897516743771378637337205016692923247857074j                     -0.06138491731742058968654179432827553748954993814745413417959081435813094641542373913753501827837836182+0.08839793401735682665644379334718474662122859861955604858182799178294782626514130709653146980735998772j
-0.1482621435749110726258310791215235600504096084585498742594793833615412897017083335941942828106752039-0.3765064509065342773574884933345997849795442745362764827221964431852634454273738621726586070313192932j                     -0.1197754443568069613097796957856786307912883389213766931902880049063645158367094956969733776849025697+0.1116433069623695844103961055740385926885903406243817772624195367928526908000852650534411652028939369j
-0.1047807612044619690226158986243958773536292263497217314058916302132188034815501807114959634936695368+0.3035266076649021755281272112779981985307602626469104654040725656390717028965023736249866614539935748j                     -0.0811493936419769696307357371154710923779174134874048753739285253569976201164592166273780747819466644-0.06360749799387306159262732818427429314776055374646152569069378942390404748868033485617586234483167621j
-0.09948889423221702694704193335578609985867441050036199967139093697168164006416521117417663660454787468+0.3841410514862423439129198361983305199805754039573234510065848073900533680433245642211400886733367846j                    -0.1376663073614066248874730290793783362931007209432728163110236859794200343213598058205542340339704264-0.07643553688313479983261957582723206841467719985776587021323868672004518919251104398322405927912586865j
-0.02074526918467371130805190759726922347285878232464332608757896685202835813403891023071707933967002916-0.3826255982943101497125689981786037294046303144852893590838406210165676327152388036452270842119958735j                    -0.1459719822765342254783688092861064166772987587084145133685612377365201217633395113730237019947414514+0.01587534206712458900738317506154005498118052384133722234479294163649019214102516304237968786680028889j
-0.01942320103422300982507205048302432340733339484115025684479325068909537111107820833549425167308092183+0.005254055019187027814352205840447184528450781120906842916463961842747439110398871611701512613848895347j                  0.0003496556442711973992714983594520484929359530886132408193923515745746404731684616527868915236211855148-0.0002041011337650761487477207048749444152199567666344460102277536686289699944906894053620045187268320699j
-0.01942320103422299970629726920500807231775318024550997669581670870135056244163264481405055321825274456-0.005254055019187041205565480203980454793151397456170620108852134959129586155658905657738256352700982609j                  0.0003496556442711968654771621315268702719772368896460469720869211317583030233590894222000660945886727443+0.0002041011337650765626189768899182661839809064036834306519832251835533575814343588850639020792315038242j
-0.007751476526521464514735939877778290327709604733137401204964249657514614824116523994188917655054460404+0.00000000000000002074474200368394317301410533313772411725455839949639581950984039667037686093054187868297882101301711j   0.00006008538834121326856650716334198989795244764660064317458984417973126970541259246366269716572985261532-0.0000000000000000003216047613805998757020202213755224470211472425010000762250360533938277845856896570842572338162268948j
-0.004311106657031018810347256453469457671272836100866786186961738051810840498117585333040085292590005139-0.000000000000000001274455026836860994742429557299983049114468991060061695387449274788582332903920336040188113121060637j  0.00001858564060829716644856151772307051425401612595244781951052670188989898427891595991417034197555494687+0.0000000000000000000109886231005660743323825805794950742762598356920958578847222723278263385960455234964348324568248182j
-1.888967958660300869811645920097166601218550329769157506112135014810255384755711774915760504774784332e-85+0.03007137481617948698126463059392876204027616067634883366015884420288748810946103065110999557604724665j                 -0.00090428758333515387443243436812406848448587368190244791303909602025237187324457873091129801424839945-1.136077270012546916640847454112118540194346879772435469760896991998697570108672884915642786154651709e-86j
-6.986983928157793699452650923836916268950310620961249282887744815917368487181695849870455239420102007e-88-0.4355475450084589633900422848649259648635685741717827326684564554299282019880167900669802003087241027j                  -0.1897016639628955864756271432998523968705158262910332626087157425795231751920278750330441394917565633+6.086327393845372119336341128675271076423935070201810347402602390919103855024477383626421580106962125e-88j
4.237253300143111458297868588849518752685308867846779655372311022403331788388299496118309256805827192e-87+0.3673611426638634501495433684353973866828038974750105278995606649033527353099047914474958740857482061j                   -0.134954209139299434798707325658363927401872104608407077520285059343891754962408888901284044245111858+3.113204428193599567488269957646493254491631442172714650665755549593203018172394421430689916731987366e-87j
6.497491652916318026285041900871639559073085425145866711212215170377724637689889932012722562525021129e-86-0.403861956383052797059541337283377014445239820955212918403490344835929647548349290861802526767344249j                    -0.1631044798135468398902042712113788952491706827831340504617293728016112420917642819978478980036922886-5.248179381058679307868309209080401174067634500155385726922247505855038354840501837442063284302343791e-86j
1.888967958657021585023169638499723348225689115424033570879901987746243699306174056418711566418081027e-85-0.03007137481609300536233328125014354460511612218025821383295688657988846146874795052564604458868945105j                  -0.0009042875833299526320772526275658459121772691448016129156087357089309039392421355348110702526359366545-1.136077270007307444457300023455512200445063893689724083156614143346739476316090519142465480363583721e-86j
0.00431110665703101881034725645346945767127283610086678618696173805181084049811758533304008529259000508-0.000000000000000001274455026836860994742429557299983049114468991060061695387449274788600553854827902749462663866870786j    0.00001858564060829716644856151772307051425401612595244781951052670188989898427891595991417034197555494632-0.00000000000000000001098862310056607433238258057949507427625983569209585788472227232782649570097103358888332375251092758j
