Npts=14, Emin=0(0.000735), Emax=1196(0.440265), step=92

k                                                                                                                                                                                                                              E (rydbergs)
0.3496088394721546116894417694264688831471070768981853735234232130683820135297089802388913514915036328+0.1676610681167484575900189847732991267170754910916743182292326391689716091176396280335084609039294038j                 0.09411610687501780627799232786981190615831055398151462902240326648915565148800424449270570406690595095+0.1172315828979165824503753785983199614508150796480273602133122066519554760811984610933156517584242484j
0.3507367219988180054622152301998136671742009804288385602479514706772431360388096089856289587964717301-0.1650853085426254029870054049284943215844664268179357449177487471325597753845010679369502791488005871j                 0.09576308906186231836488218400122303396734030066636303150191703744001878751927387488975830214795744171-0.1158029599368078023692507753966719672730379308930210906081854331840494836156416041273634012165446573j
0.3873848950134905057595842157405897059289238000833927594926180148462008459627629368795009649091396182+0.3261491089327375242356470847585316833535107110293841369391427300489405956649863619859474496483916755j                 0.04369381562699437338936020095146541519893779347045966356432255954854525347974442905026413979178344521+0.2526904766453040086422529130875882150125949472269984133423914116871133358498120539802925962555313562j
0.4589291833811594040283119294245578784210176553961544549438969505244546447870416393837036953782266729-0.260668644204131683223066463534850068738908568362128907210626329884162324463321510670731890852602663j                  0.1426678532876776427441843833206579642346836107592279890065090327546830716633030742571742420665511789-0.2392568960353522873593832356749428212868470631555277177695799167041010569610914773231207456887383419j
0.4796228455217744607911948356674250956229654220412300219029853773454961422507503248291243944332465432+0.3391084481129664695986115936409678442358606705698387065089346272009822527619849020056824166435959805j                 0.115043534364819455562266079795813326086516913681658857415426005961748834826517011438822211936116339+0.3252883176488279744047481042863218854212676938116107845834136015986440817962163050472588853520186843j
0.5390010164265473243158977568402160349659053083690680469253071856298795040935177417316223193545676922+0.2415608028462300216914240495571705733540022933697599677964238926205285390928486486164234301078132574j                 0.2321704742371359283900225821809426922558226024329244263079835571923383921044682821407083730348525395+0.2604030365258615751500782323974678161875132020164775865378215526657083867461198239622885589774673444j
0.5767832613325593272708172360113031130659204738874983146097615339261233622133158580046573130925824651+0.2792536488651365760398832231990187631190597824252000342173354625344566849823591752122250936115682718j                 0.2546963301489304331258572348513695238354398732536634777618350090942846861820120888626521085899146392+0.3221376606629016582863382927171120878209455862026967947330538972694321687477692512344054285907837815j
0.5784789018587464316275070970115058460892085138245043754232910215245129424633638208199064185713226114-0.2043317040550370315357830362754498953286555009097169933925400876374485585456286435121758723732911078j                 0.2928863946136659488719036831376255363680417375268268015432993172049649309863550484291977593172789849-0.2364031595533683744855059716844878898933828449536869941184602942809588494053106646826607095953456658j
0.5957980357815169770703019729422384794153501837476077570974371878147301560432422746934741480293794859-0.290336347189015000494738496776914561956826540033272990901345685243476015027190298966862010018699205j                  0.270680104942053525546602923959333318940313997377081197936110381451453619710718222286311006545147164-0.3459636507423913905381637860741431067002545718221943450715042622186953977384147965768437146059096468j
0.6019221660392152294199549587505137377002543272201822543401084568438079566869892865822894041477700932+0.09547915032793590491943812773715113203696743910939564746960525451871695863231300552958198598332266713j                0.3531940258219960046469107594423594751038003825419441255972260231389746566502626008838959642738585019+0.1149420339539500539664212551935422079155706769242019730176113081152250331246427726456034586598214841j
0.6019298662729240942194757558031927091056674760808225982914119338108800293919984062337514440340419439-0.0954557027842425138886607712488064006515169645668927937921992387326561326160079510598774437019157591j                 0.353207772717306638979878345658011553231925895114629698980111477077148937897400762101742704012221571-0.1149152768238141690339551901017847992564092276006850169844014290004258790293417224878702306746463087j
0.6777178164467887254999048085251383135462411059569661816662205803068716569261419735208094374738681399+0.294884191858164590396017198587539496252931093058194171315845407222970811373211992220417047782104224j                  0.3723447521215603910140598886522292992628349704707136074950230701211876604870722537678605651712891005+0.399696541221582440444204229152630482894875186790427560332892065792556904341940082395519780946744467j
0.717256151636498369311176872534734006698623940554229133699840040037338146190602578064278433619807021+0.2760654069106752288250880190754439992618601186955443865125553283909077729159767344535008477626493885j                  0.4382442781676428519961416375455263506445705837765947769323470917359901085635672991285056293913074458+0.3960192227214297935199963331432610284229521998376042203171732257292246170370278783331405641535343846j
0.7583633647291964994722170137485786724141392678832254623665161912275926126873910156853717464179031762-0.2443899067499730010124777336381274432795553210360376229133145078508330191421134917385757946464475473j                 0.5153885664421278182428627944618557966287595086773929012254218593049025306182979452878973935084504935-0.3706727039775281929308397453909887310912962470822544721413090646304918891485506793814318457456948558j
0.8258778818270878591249831114332521807946182564040059802910345766856793449819101338780426147020530173-0.2820333478690960016198196003308399884904854438124736844081165180442994955656415025208980217257535305j                 0.6025314663809467805163713123079345852222660233536096172172211668174229890601971228788333333995401364-0.4658502078854624581885028174266291118193115642401829995598052017467693868415823508470571552140155973j
0.9088548506415798092223150691755392833743013992589692810713853756739381801540501878457342653596058629+0.1492284550686061610113153115331330597478985969419836513431187699489640653638052983207860882757581674j                 0.8037480077325653351320697610537141816079231383629827805250136506209496325531319915867218010051909057+0.2712540104857035118169439655110957518805467138050934190597128379849009905099149465924178130665888948j
0.9365138752377172241862147876371206111018313808735199966748244702904776305154396903786331926437032418-0.08212943818829824122809837233902566326572159761733872386791708903443695542340490292622791420197803341j                0.8703129938956410811179004174720499634870418988694334859146023224452139522494863280407098440152089175-0.1538307168576394952366134572804592284630425500296027307476400638763576282282281817018954425477328064j
0.9418885332215436756274511892512476885343215307374210714406881388585812606215481263718352764451809275+0.199427155920439510999108448819874503458698673530888908257865699000611204535379809270301563200396571j                  0.8473828184957156924099216061789481751407645729899012624616888004976391401988977962128379111548934535+0.3756763027488937217454612084001527146337497333849345109451021768403904834579095530785267776342610304j
0.9964797918845953959309434974936988426352923696117078482494594547176018688395717586259753288731614688-0.06991628802244113632387252147627992169616610780676023927012876443924260043088158165225970200235124887j                0.9880836883035296063951287985597326056402410869993354059379484514483918427336537132131493981571831682-0.1393403362758911466380963961307588905965646842115599403223159693573758597359868219388128713680737923j
1.029492538540497268631991002702902889276331728711558984353135119165979219295410296414799847585783271-0.05745742101886149198174219090689726890770293531580440576648802325422053881360699928885007311013461733j                 1.056553531680418547652847781497618094692859977433847813967190520753933292670262856148336909795020751-0.1183039724453956847481668075747817471997051728975683312865827164985566922170626482381684385356326556j
11767243265285423474054154.12411534979184009643857548514831138565438125244107788627305827417903941856-6.53781727224648177910887998179788264887178838035260635764578661960688291478298401865437609695571273e-62j                138468014064405155130554761284077790234774846845338.7826770105142090944069046200954225169423239296121-1.538641725330182613074800600983602558682450835498145072051566744362848538299800352303044684508336928e-36j
complete
