Npts=36, Emin=0(0.000735), Emax=1190(0.43806), step=34

k                                                                                                                                                                                                                                 E (rydbergs)
-0.3820830434585399811565072748806879635649294814729151577139296633459341191033508696197612682494284779+0.3097784910629604041456846851963949208434632755155367125877782824659562144213332231237207971553025493j                   0.0500247385732959129031761276210250210972374519470111797738561845364595074387855890708332754444379095-0.2367222173266600785183882816239313688815903951755956859648143675306207806210430851462705093753327315j
-0.3602039609701287079688615549980279614721352614433324420172002178516224755935092650884528622987632925-0.2479179595416490871486016389618158229313830157906684228597523599380939441478059667344755737187902128j                   0.0682835788352752519277120579495776243162337895816738982272815326263039299011656322697941850917924187+0.1786020620450682317874558803463997822916182675154417618960887301839550584335232047595994080766086543j
-0.3598346894907557735293536607710837598991703532319066086520461405826203723438514164242789081009773025+0.00000000000001168683697548712637652033264061764768578443680061605270439508903248769919039211912605206114996279487j      0.1294810037609086235266200429049609506253254585498531550596252435730829302725307846067068025532074293-0.000000000000008410658708406986926431054980360191489740190332649730244107842100592369945680474102205838858058244524j
-0.3570924570818294716219715803392537259909340618823330246916730968748556372022983222303269622712528558-0.3111890889617485956391514494753960650743387445462537667067954468932463534159699183357922818551222819j                   0.03067637381589514151028228151483186298284358746917275947696027380337526613679955611482533690065499528+0.2222465527888136475146933455005932068708879917455263785720443576658647178427208023902276303827165837j
-0.355301342650555074212832184134955319436603416411238148488255019541227720606744800637194423558296934+0.0000000000000007191179726905228883137297873098650347367915884802114162458958253043021617401835711675654801366734398j     0.1262390440892871462486796418714279281973737341719930250094114444624191579656994572239762794945540014-0.0000000000000005110071624421759579820977118812539436381670658642749242290403101677620483182102640568224337928032081j
-0.3384234316774456707630383301995748032197140362421640577022885600155901907645015364762840684298327778+0.000000000000002160485838836791093039419718415705667378325823831013767648621455338276111271792152668894099874221941j     0.1145304191083387378903802762122172664914084950297603959953234447990765781176704651336026522940917573-0.00000000000000146231806333934333800295221783054355626032341249211283617200380699678847970502165213710950223253536j
-0.2818098004763585436688647731104724031925346930414451859714147441482415133324469772341888970212813157+0.00000000000001995543249767755704108450705888343137118368978532477695758564845360706705420051167569980817816587681j      0.07941676364452501206614555760271767254229009283735763951190723149175930655553738783084286368710049734-0.00000000000001124727290117990715422526900626676348542862632037348085655547981314782906800041233353952537315590906j
-0.2768441149337817893208031103853720411159055043416734261036841111764768227605273705730217777369564153-0.001179337350465698259879003280920939285585878966369514212731710831210898216197415181596033071698816596j                 0.0766412731368827776864496002883565887900877844420532691998499040157688208834442871496029656251702444+0.0006529852099960549269565184099533854795300049850492569042565918344054306492760066276481186009673724893j
-0.2614857921454412555878178813583595359655048185073432326850433001474791600383529247570052328579816659+0.3892028873049539458558050549117141638051468407489942060035035965610709946560745219893186040983213726j                   -0.08310406799258377351637580791022432210513140845569958231725519035227116651425057558525671520432034965-0.2035420505844575693273335776356355995369923974902844290400693305630150140667764559048487717063620303j
-0.2516393559975793982313937548298335968692380582139139565678954888357066218220262227860669529010087339-0.332987678365828117813312199562695168402150137049050749876207304020399459143921996588698869382327589j                    -0.04755842845658769646972395921721497826711339404228158744869637089807557660927814745499202630239271125+0.1675856098782121788201151981208057420303428899158475214991443029364162598068785977616967335914055509j
