Npts=10, Emin=0(0.000735), Emax=1197(0.4406325), step=133

k                                                                                                                                                                                                                              E (rydbergs)
5.556235088262578940011634012621174645028578446711879071625061145118886986830968319327267129923331691e-87-0.2400167321721251434797075681839793531133615602191956573877630807627267593572740993795589728582443075j              -0.05760803172258565289568810268028171495330487833682199835876563770242171529711375922554617379830686061-2.667178778129767033695596963473223288784824851868754275995876874344375853583304550183373486538939241e-87j
0.01523063287974208253072185437296600043448097372110621834221908977413952798272631336158923513269350941+0.00000000000008160543035245124641041534016512486377912207237649559225406828047413944680346363665306430888447969635j   0.0002319721779174806018242316326696313331011948897800805108760244182625002794085772851433448090124599173+0.000000000000002485804701383092952199191314721007575419843340201290518762466235448784179137081641115992533975399949j
0.03967281139395073466636841087388590359760397755605267085342152557554833185066247895850723334720179582+0.0000000003258004883492169850012624592664716478784973284133834431240621191850394182366126818449994421192652879j       0.001573931963899987128511187177523173793840168324940575928448947268544574143021363850088300509414590957+0.00000000002585084265267105836756110711518393254339005545624660400534400560225042095468137560046295292956085951j
0.1150273166050211918526681621846696920467985752134988399702477580914181262244435731816026724987074022-0.3677274114139145035727776529496589170998427438305533768477889045133259288023271458164125654788818257j                 -0.121992165539826554709743154203234540466858344642447789378389408644454637187781861393906053727484808-0.08459739475410645425998405416516569584953093059583568468981577097646917910821147924853221312835133757j
0.1787549309992488992315119351737473495372012276545936085760895900787644528752299872591984122053588021+0.3572902973473204680258803167967916633933017718431089677344336144301728844484294358196083406638824168j                 -0.09570303122199044040301276951159233128873683212197539947371920119121575119306630184455808723720746561+0.1277348048980427845598860813001913977533022584597117357060303754292351884089743316856399458610758948j
0.1904891920662228496735436430008552327898006845369428428149169743151685772739171115325716692572489038-0.490435334248088472861350041707115232364347595552928856825946087013999051850264485963028269831552515j                  -0.2042406847849919239032731266749392978820515174257967582259871114995118690870266983993311340781852507-0.1868452611632926523087555812733841503771139644863268997337572256352465560298063263185222541455173565j
0.268985189553685616445927535666625100410239149724074713852068017293007674986012587799594726462357418-0.3776316834086057362281129567091318660905993139866274916230204844922577138076951419371184089094284545j                  -0.07025265611478525119836496840857986930331449175084047470451501173064029651724647045730717873585484516-0.2031546598862824192068206470207792091855832133369760590124590986263456097295937787811995429228340853j
0.2794002910008286694603490128799708166090266107796474980164420579762480837469938303525077903794001192-0.001149848180492599722875367147012451429062712995377136441793432284058934760869501549861374934899538399j               0.07806320046050955983453946486847907858043162416963695158889434379082434417369413413184720172909799111-0.0006425358324728114599782180691569458312469219898242548079032810718804670646358449775652125794955120263j
0.3261435716243816510351980570505570001972916797645399492391753227072525596225161161697046031813331922+0.3514515424495775170204550724858223809732525111753146020488153103421534299238475386427100624054520104j                 -0.01714855737827902335201717715710505014474093942852928976094957432950813742773507270852655209606225299+0.229247322614806386351797406313897563806655370610557643366535854790432707570550827491810902787699629j
0.3445723204040453335174947858864388305364459699248664742714784650765081611663722415222751002536458841-0.3021791683324460681504240214938604062191512097674255602511202645655844711372810436372711432971790206j                 0.02741783421453929940619326190571648190008025409273909636074469786509940247419280023826791924511010724-0.2082451544201511116567841687915788978668994269301040755745532753433019537954593114125877522532087088j
