Npts=30, Emin=0(0.000735), Emax=1189(0.4376925), step=41

k                                                                                                                                                                                                                                  E (rydbergs)
-0.2768441149337298737084608980349132041719507297824416804608082202566434331796887400621344284552421805-0.001179337350482789909371072697085519387582529511420429216327610784018843003095986536723604163010681281j                  0.07664127313685399230930809836767904544199305760957208323298444634921964454811465880861543678269491149+0.0006529852100053959200678824544522334697038386224904488234374763774240295917801006033916144166861342695j
-0.2755735972635602694942118335608418710475724098363016582477871412562441703053773454517250476617012859+0.3904326637175816883396283788199443259430669933555565207359615243677334333408786642556879006810926525j                    -0.07649685738882731646079512522192428188498676243459857597787839686118312929536017312235860710037536877-0.2151858672596958321316663248417338365614168753851101843677803390580507845656731501962529271125852344j
-0.270039148684576041242872187880743255960182166687083072909083881404832401659471947180564145135580377+0.5222393097452589166937848913111443603750617613408443299047627945471186701782118438012884719806948479j                     -0.1998127548209139186103919357573517664275497503415419042820023625656482061687280052575112832347966565-0.2820501172264606683004242408205485844283858416244405449461286588672373869614522197478808357596886371j
-0.254298574459821724120434510595615733761895852179505213251464971926046032958415163574798456357076099-0.3337431061674721238530270083690689464560573895951333292687782307302367616329894024523342778925782229j                     -0.04671669594201507590676693623501081880817653652151457002904100326972286814289235687874714653906698232+0.169740792268362193543624812359441657282194593856952563227476425993960990766319108704975787558396314j
-0.2154891289968471252848280387358914512827512924096993996578757162231426406645606910464809460489187269+0.4468638798454114751172941913478956194334452455489544289983295634434892534737829141561853677700334148j                    -0.1532517623946745234111998043368564951939453428055293497569176964378604663448324401466876629073094704-0.1925886164960789351834853178079730538334163261909010272527492557122847930395053163764751807647208537j
-0.1667065317744702207927471931886546013573064465896072891879217911253465664115071577920880049109818952-0.2852848857704826496798576014498674753102545196895207399291163925099155094197096354937179652366329037j                    -0.0535963983128048844683404067819952636424425523691698360062132116124472249603481652612141407838261883+0.09511770774894614639063336193825258513891287024226649189161927773877063743894705306736056487809172856j
-0.1475411432260659121412033981573006364844877057441798571183804624049935758844585736215353082998830306-0.3766780260056212206054348828712949355919839443139755109104599832551672430084160547524214616236084615j                    -0.12011794633103696137035582107263738912941565447769033077249117049724633483206073861325296889304928+0.1111510131700142816913794205536011646621296278930308071107529115751253355957411617900350338345244463j
-0.1067335782728729017408365463387721071827005315744994906484153830674325253026281350234428442501100046+0.5410769200084752344297621286897212744759132022379494028105986115986696209274450923152332394156559081j                    -0.2813721766349264211245956803345313401646455583606281710798732703813522665522085488981969918518722426-0.1155021515867391626455688804243070559674315457867701531428647072833389153349177091752511611150613306j
-0.09972859700185545352994917275633395245165428953597669470420717239876712766630995114873137101563665025+0.3841188164242082849421550242101630000549220961751417038283891998086704030556053214230626582861486871j                   -0.1376014720711761319240106021212814658195496868255120444487446638788794649358361627633189300743751785-0.07661526128799912741382308452010529900146423578304187882595427190455807239724192892393854269261286692j
-0.09789814064713953614939408035701955851570802468557751508659294470173443407371665232033201876138376613-0.0000000000002332982264477116510647169410180108252515950240499912462148333993119269491440970269248941183631608002j       0.009584045942167114237766410007515965505969140622194581427007645551953542609017839410941115982254594352+0.00000000000004567892517101256788682645654609474699737035429283418548938717894025609908174137598423277050589301043j
-0.08114530639019563082340180913631681135777742625494960873417713823008202561748665589065094895957413699-0.3741174576307465857465460986497374896077531881440380704009567466891896768951036747375799631502599894j                   -0.1333793113549347428613932275108343540160516663761119750506600200907886755368770801601109218899199818+0.06071575145073592818227036891279560464470173174581289106308885278931654045237865385778816349862804094j
-0.03808298257026376053530961808339848856978840781314776621952570363202777047673633450628633313687445001+0.4854065731288666031323294075331812734288910209913980483141180279359778824625946010107984118166773886j                   -0.2341692276752627080371989981588022732054833985479280455442657558259685283302453304841992927879242283-0.03697146012791617661702977072522314594737322735268724952407101563364902023487605919931727389421641993j
-0.02446459916987760705048609947967326822946078942554104917526889690424864970527501713221178665701669383+0.000000000000000007259522110905566098311256202376345243379345887674512372136467943842907926914062182342279398125966018j  0.0005985166125427760999978317348879421511356438102835949791206888431444473714762771099602159415038197548-0.0000000000000000003552025972163368919878211748098183294018543260208779246376476872887251482898269313915609737645285039j
-0.02099452075474048685392851383664914469855454109783067245151805602498621833926473154911741057334437206-0.009935178733334825535119206625961421399287511935396265506332595178528116508953784309326568235245835755j                 0.0003420621252579204734016055404135171543689563284450093006560985941781258436222695512513019690123816513+0.0004171686322381085911429878429040990951978734424208360315758953601682231538128266792161489370463021079j
-0.02099452075474047714401624724572462455262186642562351149970592980269122172586991951231595900372832425+0.009935178733334797139770133991090832576772415318220042910114490296627943907806457362794082670313145219j                 0.0003420621252579206299174327892294420288306332042081835951323751173322774247097038595145968863898666575-0.00041716863223810720591006924867478449565484837284998267233133347763541656866824875507671391329373393j
-0.00005024839495312005371984029430910731874943383904826915426220356631027054714342617563028123983076695896-3.745071417039124074636805694324078814127717727688829113309202351750432205578092126315135821698654255e-34j             0.000000002524901195364740885669238253951213126644259012178818258023028270614881166888417112639992520772271337+3.76367655382045780220407943142633485398705345568373039145947862196586998422684483909401073668461608e-38j
