Npts=22, Emin=0(0.000735), Emax=1197(0.4406325), step=57

k                                                                                                                                                                                                                                       E (rydbergs)
0.2745522606741533312491724254589769016469539421183615268008580532544937070843833093783680628863385021+0.3910995611153017670906035689239951355336012708864330893268614174585688263019215449979087585640826839j                          -0.07757992286329342018015256444338757837668706228724782809708673584027597960386704456653352449742389943+0.2147545373057505854253776444110126363785830777086744480487292451319893079577491473759495051989764175j
0.2768441147963344471491211884488261178173698359184276644642523103603928731542712400059589105031614527-0.001179337361316384283075095013729098897649287673793054688679691495360811376251450063589341766648427332j                        0.0766412730607542088795730868877298811450344493856788820806697456417512155019329853449241805921683203-0.0006529852156797584923152722670906986904036262413488841182459070677703931873468660984913900449003385519j
0.3260582991210847653066867523683542284831230014753361719350389991905531638629294510410609324555146168+0.3777519304406082976545448658249157330779775725704941065853940248214507557382510427850831169224131581j                          -0.03638250652587138358408675264044691311633359448701994898807616855943965730471444228528043442149206351+0.2463383038583421318001510069926249612269841061513127764229723525144122501639626499679571446417244143j
0.3490008185941743609928622894234294633042819440679789528662059424056947893348561296552743380114279521-0.3183283761224004125295331370780366718819545340805121798246022718344956420012406357100005351165884813j                          0.02046861633467937529582110148566200324569965532977496866993872346361648821260006527240929935038184564-0.2221937276969439431295346021642825847151651961448674362914848220980029555296435774998073737610651182j
0.3600954991755671232375144201862427151111679384652803089398657956201501252601329306442237530463584231-0.2479133095202270107059699549684201912535084366341968553541207656910839022219391120232805252983058412j                          0.06820775948922898215001129822554460439213272656107658063183274081159229677218270680780974296687251263-0.178544933887906045156404691514094773045514653286844350897283057924303146487533895365045123980988756j
0.3894598693737927858467685027228003967280877429346331808661291815225941871089436944264803126695452926+0.4033935747629730797062863694690531977054564979655477693817531282274275689481435632200268040614789041j                          -0.01104738630739861160136330101312280594614970891046110522890096303166644575439548837419745421262270475+0.3142112178668296195525504871667671552584634578744350654007084091317368211865325354292491767476646544j
0.4185942556049818347975651766781066263647017216746175000123396845544139615969804971678040069947539987+0.3707771353788845377382193048979955904433694352879457714571801340734879325420591563916162716053258269j                          0.03774546670571719427693660164541460626511418786842721948377047582474931431024591082736486831419989895+0.3104103579585434949361041579243334951522542213630677722393143994375684344994171656141686337693552025j
0.4617752976645476485416954670782141791072568701550112601131028551871011749349611968430099113071561492-0.2526916669062209327715280441557711810632721337564230727243381233940484706792301970822441532905850713j                          0.1493833470093370736401504428893038334367932582640839062632745560430131809249888935668505324571125055-0.2333735394059417908535997674141665983729081901949717428836092415646772931229807266643676831256605383j
0.4658533151814964853455384788197495875350165194100079663847203956036573328607375755080475387194943499+0.00000000000001666193345887941737094552237360037923702681303029467392438452849174182583451406878749233537781786222j             0.2170193112655907037510770155516385028534746608767247027448265046683723851910304457559108987472670984+0.00000000000001552403387830495025874280343080008226891801592113635770675315174534031909946901735870901237836606088j
0.4731294871586522507447538568465911007292778138847050147703419313595270295113291093426133197777352441+0.3686449614480720392725702619019632552093951319727135839220630862620582793861018392292368063368701799j                          0.08795240401795876495126923961347661390120558321458112034774192569548194939724963121785309265337905336+0.3488336031070949078790493304466553865371251520014577137079084757708568070398830394342938776002219529j
0.482515903152732454780345626752588188021340291952643331545810694822756634035524059580518422101831963+0.000000000000004508771300382344728207590902993804504171023701382264858450831990197407035194240375680523085412549333j             0.2328215967952970856948174762121533973144710754166981929010365296900768802119368077681330069275590762+0.00000000000000435110771222621404107788382181338444643238375932945419591967008220847614932403344896378113912950755j
0.5039204435833443930623487185836291910837397455065753504667024937383386946753324166067384618003560391-0.4690977725851879003952865381334441695621701942740038719172342387939723702357447471876105902326001084j                          0.03388309321684991439136191924654231312475672725976420595473033513037983042587431550049886349620387336-0.4727759152901733948820775779325912592437927846250767114583503291268169696924980894481378722575261064j
0.5144550675657580691060408977231757610744270273318773646181116434708245505932717079673997426466260136-0.000000000000007692800714549101227107286006118789203242685568345818062641269213722544853843934317607388157112722903j            0.264664016544088700015559992985249632471899036501147100496581075509785526338975180870358912510536869-0.000000000000007915200622746539649724264496352054704739560899424144390850653180650015832853425612159885759910138095j
0.5279458463284509518393143583804705903062269661414107794883058197492143727515448779155912006552158285+0.381495451089988702196377859186248243502676585540092605105232716630459484639344776843030343295525549j                           0.1331880374531103853177824873180681568111645296666642618615080514524749058446402169552918410616472424+0.402817877592316503088768305152141728747312653856471964232120415222862723267075429925541050537285694j
0.534717166429221834267453491550350739170415457095776315589633399264049362068303590534890472800462829+0.350149717783946026545980960373012277248937203994700983781031145409554716133843165447705003203661387j                            0.1633176232099190735025894030279054882450910389382349522722641202103374007514144401189707266827586146+0.3744621298388466474941684033567607309443039482048259286456230733288890311721127894589654962527776763j
0.5820323630576498811040439057522929093829020636867042294152872622759880012765670283685170776135111641-0.2824562795498551320976681553810127166723089454937868328290659504192286776226911604589541981705922554j                          0.2589801217893260515495726656472496126602967796008566849659595608224379878541583306641181021921888352-0.328797391693748659551245359455120545593602842925323633362716200369708085725165988601215244752954785j
0.5923535953118362466691170592334177786020800566535316964385154361628463264540221941752536671745194693-0.2055206584907461450374269690495472692606083540130064393753456863203811575273403009376245003713851026j                          0.3086440408123887631098157462810558654805604511119100837533431565235034478683876362585303372381941795-0.2434818019356990880040619137898788568826012514688298980765725161292507096061389407889444480016856569j
0.6096570728908564112919503905342108860615807205772291128569243259848144202177012858998811996962273557+0.3361006810002022668453383797658700314579797383768085949837184495358426379020530733505703155795155819j                          0.2587180787570472823060576269232919251405265743324585367745187530534179282906219655072246421768010131+0.4098123147504135838426249605000201889547943315580089332472252907700898781251125171002469243674494321j
0.646490584314025473980130318468415679017656946175877691394549106750977986606482179070110929731145796-0.5950865351836554575126499476844749686204178254609159904325273387520949316870086495165635026924910543j                           0.06382209124980207550338002712879784459382534919254474555884910853778792217816646571818917799789447869-0.7694356836965805905047623084527384978569279101703265088051103232552902425390267564241242322415576218j
0.6585727799717459779289284249523439218314558110548430245953942596023779943055585184210306131331816447+0.344960491266515304614160882915867136562028527443948333616393290954026377142156249897978944695302394j                           0.314720365984878158529282945206084564482224622089838209264455268291147113643475825622384315743560144+0.4543631794276163674768058866114549430829215918336431617495657209690293731568846899936483835776203209j
0.6848963399512904967366604323009387325105531913308523881205141924956057933409608063053489291543936018+0.3227836730866943750289708616026872280960130403706142029142999574191381048377667767821882675749466937j                          0.3648936968673356923777166566217787741259017503675086498560186028279199273004519477762207285585790874+0.4421467125862216955567209304536100432064144262294387472392488721333083202636590591311105548099398448j
0.7138317883145031683286783111991492329798557022050892386600671527664224258827464408787497926081571881-0.2072847747481635711062275396815099315062381272814127458908821782566352564809783117430083977499344875j                          0.4665888441658847519950397237676563783450902495311494028702298664245190453114585227230546744320455246-0.2959329228977011401676347951646349350159165729418193506714635152855422473796051632886737488123902464j
0.743734730992089974923363891418986444195393976911532335067130682457771329533605768121556604150264572+0.278774283275329137633628691953759175814685875528211085253197437303803553632828048239347553642063027j                            0.4754262490682029853134597026905873767536058318825670918054370653744331756598832940400855731502167778+0.4146682331585792070859594003190362922986568904704671587230696600396409230522580388218029087728915896j
