Npts=16, Emin=0(0.000735), Emax=1185(0.4362225), step=79

k                                                                                                                                                                                                                                   E (rydbergs)
-7.908886422059611841075023295846223527023768665814428584828712271709566833211291933436488428768834368e-88+0.002140300657349302713483090128397311522797899465414832048833635921751686246861763937967275538632746102j                -0.000004580886903849857303441493506044610172734803993888493824234355892146495718066071504518793295651615425-3.385478961607032400894568473463387935110900100788105561808685134266714545326359540750919619763491612e-90j
7.908886422059612177953509287076886266500489385824848277048156343142260270987282542233239979595040174e-88-0.002140300657349302722081314626434630982256043607462982154961051162141584641093666513612570468401450375j                 -0.000004580886903849857340247064596416916642461002533354684672689095320513075917251544098176459570350586993-3.385478961607032558699293673506694611452020177300780898595456923380733586519929084220098143035248714e-90j
0.00821027066684323752557034627906731715490447119467814276053786994032363300083404986043927801280527016+0.000000000000000009040482766977830136617311797237584323666255255826072999002706351164115722815212518606511596127393703j    0.00006740854442282650019803232747342555781863415517029188684085042077872416197350796183165372210044347597+0.0000000000000000001484496209516397331227752608760501627002080438563792636005777120671952550463586089407459711386229905j
0.03599274762788401641917660708027574200481942952552266558946394991512442094298348579648382432395658949-0.03590333133867824461967059173467819615528515892678585585211445623739903151834651563191729388836880965j                    0.000006428680589635138015919097900923025410285553859361404507984645520015727137744289382247559953708896061-0.00258451908774669051351540761740361636829302153993452847155695632620828197895974849690887164255161914j
0.03599274762799667961247748068175007542275199482674052979667975229728668408399438373236725919923574735+0.03590333133971936975528422098127210421604137681384642397236104220719073692256444367415120000075300702j                    0.000006428680522985532363782658184891177071179367002233716817206003731717823245822756647597007017567991438+0.002584519087829726389943527608391988812466090729981065246294668369664610917091466050095230680634632874j
0.1079572094931540601301180362889533966141549713682146066078758620040681789367472458670196647148799539+0.2774443078268687191811273377075595045960000163404180000660549305687321081915353010684856224541316354j                      -0.06532058486398153410955047503884332304661989388468882678863616619319717310005332678328787679114559651+0.05990422652549677799401973463532293034520322308566027068119307468859198085065774323381547008680014001j
0.1237999923258052981050307728292734147949924012712681472821346335069713862871949027539025086642365957+0.3208819812223423609053048428736046069039621914221379657685254403756085475110868813765828195399869999j                      -0.08763880777330622480038852628795308840808864686995186748358997795144548792668273196697800669352511735+0.07945037362563036810003198386572183917554571075325800974198425373687811950966290539414655400468249708j
0.1276523486786470222795666556495717333225705117233390898028553705625934913992814830896606094264521721-0.277726211441836106031030969010552789611569341641516362994153875416531697981672378967752787321060624j                       -0.0608367263986605802422523306053096969771920718376266805560034420390802809851056921083602043778953888-0.07090480636034582154005090348793530171471524023410518875406382423229751396437194204843684974611237328j
0.1294801303581439378775141311474388772184602164793725598888431045883754650977110065315755803958653837-0.3219032152124750828506466930283352461258441352217984498111064142374575483197930015113734367924887354j                      -0.08685657580656710220072274366824000893031180055142690165979389181573449019662230059850684423625023528-0.0833601405368338729217824845893056645998653137982357759674240889980121776516448190341860245815592463j
0.135605267370416407896468914825871378242689397588864465464687502509363429336380433437667823462107578-0.3878150008782089016083174328453512745460521357423562140185085379098123033818458952899838146415693566j                       -0.1320116863675630502005386589586788466165701071945980106994490447632764894004453319877462158465254398-0.1051795137686955842760893876428003673041277530116132585927309320300820069048512336477115493502777865j
0.1562164243704675651283080060408922142920241585121791630147691082334219032477476456660059421083008372-0.00000000529979520285506295926048335356778310885488175115646863546990922352912273201626470321186257831433503j               0.02440357124309398451407978035511635060030065887729397000929618958009535044324257347754964751740380679-0.000000001655830112971549500541865542696462368076731533001562413706698957772444311115629342505964293092327733j
0.169552258627515221133373655194547600322527699457865243091997700138137859975237569468417087663219173+0.3429371997582141800802781869092150887181189086544961945626509507375526462720032063771678987645904327j                       -0.08885795457231348615367213844773311065792608918729378826316778024421874000757058008690428400120947298+0.1162915535728011620427309869418975484881311802606617273023624993711807873707736925587131770838713687j
0.1783078819873413635730356677110362024697787928217033842075304033969449302065092679062820820777452272-0.6003969371061747964193156559062284561390201653567364992856035593355279954237919566212061101693281971j                      -0.3286827813076643594252243367629627983103632579105219232043240499905084034739642874757637814946918627-0.2141110124141780610652386420679145047298752721243673294683568921084908820574395826757207200694150739j
0.2319344484490307638860111050438806594261572338946639839511050968048033555355499784449176355449288482-0.3672210076051957321583980948536926202427769899048580232248847768665939525558254988641640062874269691j                      -0.08105768004921911284141106996434896142047114445716073533496826307173791740702189693553298608241707352-0.1703424037156168072601312876263574927747645964142456140473296060904343913920623454616437093917248901j
