Npts=18, Emin=0(0.000735), Emax=1190(0.43806), step=70

k                                                                                                                                                                                                                        E (rydbergs)
0.02166304168381354113160261154728345251426046442467234632510885221697684308280563195411213804706903504-0.01129302761716956942867276808778263773785292988701377289674495881876729517034001172427652327592594448j         0.0003417549022324884202081168571202547466685199908143841330953006544566855048814289473900470162565613222-0.0004892826560144037829587846916606205340085364406951855074066393608805819668427859532280221599354930216j
0.02166304168381507297887571524297458783454441181091789279043815000722919612419384893391087768575957071+0.01129302761717624038269355447654252423554768608133801755875343039070294607113257570684447558252319627j         0.0003417549022324041186147985597554178902155580487983310430886980529099210373696838089300836082075557273+0.0004892826560147274076559518021280641307591253397668807675364543273974697551936298889881928220678365395j
0.05951501556886487211365222533335641961479138238975969597018086814470667507541923811170973901962246839-0.3910208073686967419615247144606201792233995512875627676694623738195261639631817581162636078946501263j          -0.1493552347171052161788281706148376076766309450494734152192290222106373657586590758226214895566887476-0.04654321887659619741172397327170477781150497886793977989607091771073383679730484892041355026967924319j
0.1028103261607701359505236442175539169469882199154094057151226077218589298428978869654324367274789006+0.3802084143375261174995583750856996541247635411092182112777813558381069192005205481611862104228059813j           -0.1339884751677719995479710028988483241604348806418957872181401350781378162489061409387533998479723562+0.07817870217422058527244199686660784545549478295856409809201742090041433135601979576092273184610860193j
0.1280572956874673883717882864704651470496282552154087869779654244591112322791351989451652928539986144+0.254534550701701963148422743116598210744449435112420957247577922787768838544355986974527836961388303j            -0.04838916652212983355676364271333535886301531155773783038407463774920211385452972500133735058486573135+0.06519001244376901623652456042605076197362282092729589138970367091323965834340605861851565383758412617j
0.136464634558829920443583360002176843397838888848318695980247614145363573857357399298302848626997779-0.2503860620200325805791010599955641435480169620013980400106313011038510177091285884505631772085214214j            -0.04407058356862460449074257038393195206444689600910815978636569337889370876872621673156300863672349647-0.06833768490437653979127894058455758430161497458294995847474295330575305373021311271750631088613983434j
0.1463804857489686934170024077483362538858470918738608991682348608347354742608559574336501429183482914-0.3748478706796165351081760405335186940960035370713186041828072609454215397480974375002794725769977838j           -0.1190836795449384949206903084469787854947312850399324181597727639219340069727896220146542094853935397-0.1097408267840977359124244378651448403784485302098306959054192085799951131375182700862886362129390269j
0.2071616394493061040953405660470963704667689931022392692004675659670459709847385705007889987783745078+0.3752583041338889923267221081645517184093418533501096235808585048974736884070139059715126827248496975j           -0.09790284996211802931144906361619202993009629439264680812058605387183657594938496247596686329038461457+0.1554782510026855315085685441314152832356950075376201998889244668119612317662901224212337887624110173j
0.253586012969362297079652836818072663745901539207111532322641417245970198753584865222330299870969778-0.3402435126374876278275898687282916022049046055086172929540199416442673588248395537306586414834043648j            -0.05145978191819861996476660903080879438470154989460501997306439074879326798555868672963478336832495435-0.1725619916168626444337272691859325205552185026952037966087655005163271376196379674340951677233871262j
0.2768440661703261607602783562165105502232192153792925880000015526993261224771446629153231199268250461-0.00117936406048117761232030435577242779971879039513882845227892324993377011093184983832397212582635481j          0.07664124607413277516033609800066098340146433397483568566666415843500942835843327541806026703320490047-0.0006529998839975113584466729129549893188054622826798639531613110347703367478106248914048407980115331208j
0.2809383156319622130503274219857947914912205509329170160442038896070669867618158887075022767787907844+0.3914425077119341150625648894842561813211727943137174528283246977547001508994539278755312843548159588j           -0.07430089965368357518924767758427402448459273959523071743589716606975035614265410564755048068876409456+0.2199423975666842982645936835275990636539569033171552402162397902593269254933808643430764110447164169j
0.3317690268751033919065721411725019544741348917984002201231228439299639739645588458182691643175167365+0.2837739811280675595499049799198434214026711184262736652565047415383711182936352241998925139085773319j           0.02954301482838023329282188262123201911306216342588964849415829768993367836281345933419435388198491536+0.1882948351426658578281449718001793213484278302267138915723561455301719165968006700848111833414944038j
