Npts=38, Emin=0(0.000735), Emax=1184(0.435855), step=32

k                                                                                                                                                                                                                                           E (Ry)
-0.061636881046268704398386601195237990964994919668027949523671884406846442455009410314676311390298281+0.4013330643822408622312001482140126315053132228887277761405560525936419933762744638900732591264439673j                              -0.1572691234613280107404110844527830029757921383711488296068383339146006436778155679376689403285005858-0.04947383669852535891976487760088040277694178029105311428115026206753000395514104312679009179890512007j
-0.0278631129100985456482992025911910083663623342949062597167776055002291106780255821087757874774047793-0.000000000000000008176531324796898121531363179338369806549455117730428110773055227102099354857001478224414387210783984j            0.0007763530610409002451507093737673711294434652641554432027113748062425260604384413039729730777994232178+0.0000000000000000004556472310315472335164722450504630966192773811271635096781873765626434597403101176882567854672574446j
-0.02014849281528418904999350414657962637625840141450240830518334707764758091799442213186919008937982986+0.000000000000000004310088370828416180542122628067889773101640140152302202131973130788126742866924047163283780164309958j           0.0004059617627275585862888723516041822512722645163507432802396478199402452974362801431715835201671518069-0.0000000000000000001736835691457525578619529563630838607867624124189090696328956705503658224418936936243163879739541764j
-0.004425975567163033282730988789488895271883973289696957414605974865429927378922319098664153554878457439+0.004642297686655294418350646662748586889909485493261953354291226862419789775470000046050433303431520957j                         -0.000001961668090400963979368357969548730653489306958452937141259165796544315497113892449828925337423141367-0.00004109339227326760815616265277218114821551685976736305660957162411654536750077779399360632855393700524j
-0.004425975567163033282688124559442192852202543344342467567900169157302556773339946925053454383927019023-0.00464229768665529441836416584722786903071893419161934458262743111026133143079998430899477338516726283j                          -0.000001961668090400963979873310196999926889321242748412082332688369167557246405248744526025229711913057565+0.000041093392273267608155884346900595559104382443740007032545883773096518514276821558285493486536080185j
-0.00004675085123909798875372347828923707474252309478910714248854095920370542087292169696289132403772713137-2.102806201643854841197075050849330706653972609848547108718088304145979145648789806619485282506150416e-34j                      0.000000002185642091580269950417852283479393672662736113400660864871663540349632724075408582404609645862791629+1.966159598354090925966710138070794844153581376735540733688882741394884667158914757691391762844863585e-38j
-9.948731689077778705137345659569419894845109377085360337706527665589276549417889020317732069574580908e-79+0.5754597207958962495488466372330678239939040501476688407780724737294499699746832799218721260328888852j                          -0.3311538902584908664623096644160855304744400837704145561288682921127137473010321910645271067265278035-1.145018872013996766197013153550864370707026120674063721446319722446555752037419347791704331079439425e-78j
-2.040960836653143173869460988368061681918621257492100187235464634601573643283604263213191657754062091e-80-0.4072954532480464072723309462575041840478335165405334654301521163823167965807784263507237319890938067j                          -0.1658895862365315566915400744044487171246476151464904132998937105502255348319454767033116762809420228+1.662548138052307911580725483156702815979234594786779023299825711653954462715253143589452660712207527e-80j
9.740760689557643421237421450625951085202361678197911420580503154623429874318289909902552779196923138e-83-0.3054112631193549571439882100190354122637715048531271396762399852899629593659106566116046051498023718j                           -0.09327603964015986542755822995288898085379877513013366957264365272586717411410673463661797183387745398-5.949876051882317726471518967150558698137866302084073708052189938825281052775176727966740546067153572e-83j
3.771164974232389696745791654587201923018110187700837254366218776744458179668426972097522719936268787e-79+0.4311397398808378095267858224308389361602326105316312175361037146550371210064726258173392284940757104j                           -0.185881475304516488377295552675410709536310447600467970382770198739517714353901913069757738225909156+3.251798172076557828936531206192449743669956487925850356096758260323521204182928837315329050848252638e-79j
