Npts=28, Emin=0(0.000735), Emax=1188(0.437325), step=44

k                                                                                                                                                                                                                                  E (rydbergs)
0.2628271684021282530388535845050356320745671680611934628240206223566377499905597301345542636898198975+0.3940419077086210758003015216645493009592094634305893723237970307375670584580686456749649456267174654j                     -0.08619090458036876559994285955548366558798540291500262909925176041558287891277684234986274971285499649+0.2071298376696592610173430985908446539279293152745361951971284084604847050934840317957575596769508515j
0.2768441149336551636482032264126446681058098735207369712966043723840547343880490680146422079289679731-0.001179337350478204369145430339351306796497018327485859409377928845239926377172199532519629837389779391j                   0.07664127313681263704408846295667246040340755121837492901180587099597849212243017229162609469009013938-0.000652985210002680743688323806554265566701623264042706567553477638299932753222870632718001972805971608j
0.2967202266531219665933099388247276961887992085969608242526293126349802423639527884826414073267634989+0.000000000000007585478796340023262525724327968212415552226585249584957255927653749865702194815241391237049973062196j       0.08804289290508007149283105346141192797058403978199646882470248642889142093635128908464368713575837504+0.000000000000004501529975444925008638679623455459176834957002857446446435528594101091053018236526542400019552784097j
0.304553257130919865316389703405181894452391714919222030191060522972713729614638190679594072149701557+0.5044862752304758252288287902446842056648480631375085523827813304473027417995521826297045960927369464j                      -0.1617537154668672143542491735804178875372322904993589133875920257846577432512037691196784820240788532+0.3072858765985742268806871605625309374291572835749287593777714865647764271108921782000630792651429167j
0.3495327044429099273009739568864818549893465225479109068980125985478213293615288707938372332108291074-0.3165313594764870319849756106926622549473480979107906640225799428629012595922866803868183513903391348j                     0.02198100994314156844487341475131908284442426641638235730924175446477190958928732371610706491023157027-0.2212761242376148362497046757453309229387679049530217102457672788589893011759155993266150488873437596j
0.3569195352129518531288448484661173277055320826559717278856624310698785443180204534466378244767377388-0.000000000000008405863334597911005320271405981646588737200380462962685593165886389405493682312404150561287704064863j       0.1273915546166295778376196884836946887975935240655703213320847208558254998482443618026661582279823313-0.000000000000006000433668896559964481460284763939425063666890491868380207337867725440033832465199226411257820934029j
0.360204293134975765416309258670959558548818860420268472778448870051379128528629207342410008367251304-0.2479212304507405696717181361189357223678180216998258759242008313350652663816949729926780163005920859j                      0.06828219628465833623505633743975982896636526000697437551475676063307528627450813393652546321261441964-0.1786045831353248721361207603634297830472216359477116505071157706210320722826009418193982327862716872j
0.3684033929426196876174067481439787088514984829040698774651661484093689665615922637059138362129915732+0.3909570744438485714327516535254622567556800261500901632068274483343562177533956668352583098689779589j                     -0.01712637412605870831286073882104706182600974861999822859772381835835240387528187148076418055544898752+0.2880598254400683252685115690559730176783930132411138105043007728948078654423173428926177764263974237j
0.4005890192140398217432327544665793344032311363580392089272263440008736319197577814654059609681299288+0.3767312910166247778199270055295812576912722821756710123556925316768465267532580922606869350874932529j                     0.01854509668381353646227108741733611199808095482094288503117730813569126146235742608488163919325107693+0.3018288367511774616245476567629620128221995474398924545890439654559779891552765144970325442523890148j
0.4235305281128241890342332871653760941500791789763192938494392900837858662535623085577846708484435485-0.5206226599803364170916398912764117193329524978016762298038359429625222261454306031241362966624748886j                     -0.09166984584147322560421413840177935326897004103852401206115458042473860568790366295607053240213889036-0.440999180257950363507154609535200143608410189572599073640859371194550760353272141503958813763492201j
0.425055530385951738374113000773530671289902163476061341087482067425713968992760645456427224388474145-0.00000000000000241137130941903613194347602605598711936536493735047312668141797344610172481323582561946934054343425j         0.1806722039116827415670186239955520371747205699048111713611053228563482878553675142356225280951633268-0.000000000000002049933421765150687776244508503713673693094033019289532658221124216917960417971045497386009092889414j
0.4324218713721493872785018697016795927839604557591600764743979211472756149112208542090517100818475737+0.000000000000005508500988987516052189898324046133507289845145860823377659833704159419796090322256834208921912309144j       0.1869886748409917098154419195682177888158712737727467660358985375876767468327538480838105787891418268+0.000000000000004763992612226634709610430309490996758858709700737585090241626698392749428517381387834753687948523203j
0.4534823850687009981374192745396593041948037166399603967481010824930860572128696922866146664749096641+0.4851301268415847378655036298964573502715625377894585794699370006553142572362484734079651285294634689j                     -0.02970496640173448656980763718689325847184044780447278634928848007692981262062408019580679240946544096+0.4399959339776065760947961695848694915613242841250406786420967282310124789713229356982723620287189834j
0.4617555822813320297099852410742828751329033880805134746163513286348251772187090504968291188510152906-0.2526808556436943657193095238258050272793622321035178461903109014550726738109413762110453789276418716j                     0.1493706029591424835154806859093928362613883754427224601597346108146221301778342126999674899023360992-0.2333535912581985889198738659701065492613344010176071767055405709656402796713917458185228956299338633j
