Npts=34, Emin=0(0.000735), Emax=1188(0.437325), step=36

k                                                                                                                                                                                                                                 E (Ry)
-0.367384496889180430262567238522304925140810849053903426877826346565267919269246762966077027590120467+0.4268588786287534452681882058674384084540171919250959031499800293289090956331238019388651053390050224j                    -0.04723713370968063952616268549225033376290020910079284201934610549407769865874222255684923721669515542-0.3136426687354086339172577293471633417399850618747769953186764541841052144977355706651630695872472586j
-0.3642544304350092384066300746643220769980416234981569642183645617351639575789789900508257785470767866-0.0000000000000007765106167872178074183693397630717163806879820745592104971053156077101426732430678504428989361782209j    0.1326812900915329845503153296339335122692599825659455908968459601128137678514539125626961951438271373+0.0000000000000005656948648891314915005961840235895636640605322358647445132102503079264449829507420678615581492270671j
-0.3602036562024683360347673256669062753968259189309425503324248922124796302883199604499282138989629191-0.2479206423664029720559361418524701705445788407670326568355831174188763927101528348084425235844602648j                   0.06828202903025612150903026039625394919409595254984734920547590942819340978483050696869879220098746216+0.1786038436568858440648205691362311820584627606782118445519383855882068372353128996913399888845701314j
-0.3540100867689917279897146702763153022753005418789261003410515988983943516684509132156056734689362855-0.000000000000002953754222747201027507372248108476525097562623182207181042081099156920413526732668718623077967568959j     0.1253231415341890521092032727878427008803670308954631763133716605517700943284954892888283797143814769+0.000000000000002091317577378024711628919808778967703104074511541143501195801422777475697325233576888369145636252027j
-0.3488309073044504916666356244970436320490777496859007533494769859740907912225741207062527093066083027-0.3177483045114369567946157767705820266462870956394155920435827049545685625397852625392241735137759106j                   0.02071901687095326387163835536335870893620503749468535526144028996385593896944757835731013715229556569+0.2216808587143507460934649402998335616966265972127730109175522883854749377304605351481967099248297926j
-0.3192860397447694403917863163491601048709074071649790819071231397035323146448705182495234194640557944+0.00000000000001262995596083702877915408633806142537397213877462614083727611929446263777412768182499265716710042555j      0.1019435751758984907365616413450273051569806191308329333125573305677254747563832439108489193283832403-0.000000000000008065137241772998553101227548413153063261745047719227307908714138156041738951514377615482332206102457j
-0.2958739252778589121867277879444549498420173307713499477916000810325644858599285332777269864564721452+0.530563746329152800534911873938374203985052551862301365391091257053733710122013482184854138974034514j                    -0.1939565092594975628576883192002438240158469265754598009962495038075676184933598980843443217853068588-0.3139599564730652928394797228504024952324705532199634944838357464608289795732122092602620539049587188j
-0.2768441149338052719478673501560285396778001825978083936891825459272044692442036011100582968141521427-0.001179337350471086478635841230888454526775499653934665139914432483810694765275936082962244990009302808j                 0.07664127313689576703160617503288259614597477009620083160764448969669047704169729699982737565924287529+0.0006529852099990937081404993007760426678481908555770434425814728884569063168645598644034352698375708703j
-0.2755262956293624671299681608338541288215534285435903149675070112309356806165858930357764905014594814+0.3954044656419265038800310555601785173302598463104531580649089512543986562675963383259562351867204671j                   -0.08042995186633859412722190712100271867377529708477583425321531495228347470544113587279168092357590512-0.2178886553872550725739553510460612127541775640902404609164080419406362685071770246446796467610219791j
-0.2542075286143249365731661682364960183306815583224985565845731619658155228903792563209410673264176581-0.3339846140390161903088527447399975939699194803832624760653462155258189185523647600664519111811138397j                   -0.04692425481058777911418985935898568843253783586483637995581578428671044318621774368977865288787523509+0.1698028066601349562526460336990150348561698769472779228385295077429131931947510624910524508192218055j
