9 poles, Ry

Npts    status    k                                                                                                                                                                                                                   E (Ry)
40      LOST      -0.1667044963456462474975861993420091039192048372129452180053080559274607976860412541956177274858960336-0.2852776688165946269051422880035709451557732172485783087990190147221056012523644291058605578099319994j     -0.05359295922357506331026081738514179036735693467596318549397865913181757780838903239986219839890951021+0.09511414019746095887168976004729501173508066618482500788388030492594101108481247114268215979994195582j

26      PRE       -1.198142062751388869824683430945290972164934296270888785117301202977820292350704017423573061414322782e-85-0.3055193068979555608846535830690686814267472916308224267739619112936100163314247514162036429254302216j  -0.09334204688740715636696440682302323519586597980783148054339582491399396425041973606286543026684367546+7.321110651541822120447616514241520563879688949141334593091760946755330630769121377004774054680272783e-86j
28      PRE       1.198089108859844416785416979341355743511660170894126267374147583653562630948147223884851419463101038e-83-0.3054974724463514535490591897360987295435780791418962020115111759996725361504397650935212587762234222j   -0.09332870567110926556475564097085096158083633682505190736580066444065753433990157586100455255346861724-7.320263890443681737242956355659992473869716566198300790145506069439833081254741683534173225670149485e-84j
30      PRE       -3.164278414743183494058590593568298602011505281579307629123986058474455908734313714028011540841353862e-85-0.3055108734832457711262286770741842477365469702251141336805524080822045356221506795362365547979927409j  -0.09333689381649580405419110797252162034366353866086322991661962462979083199620783542101904521206435545+1.93344292486474044531936095631777116527488866006966519335290862652872761943891688210256824440150605e-85j
32      NEW       4.270235254205119240616126394717350224117668259674377285410391312387622793447222825887709080251151421e-82-0.3055027162414968771040539083710270560339268591925041273340944125932244066867457315183496729635690113j   -0.09333190963093255977993410888653831948901928573399993501215955889639185029208310509306246690721081019-2.609136938299725655004512417741267062969557390225028997583144404999137288544707252960882081211086678e-82j
34      REP       7.986850148731067461839379476243611008711000941380757411101260705779953197408052359118168167585935362e-83-0.3055061979543119387697847681464838970690979342461984938644945892798188025203734244952533092395860835j   -0.09333403698849923224121888252846350108871113289016703568351205688745110752016154316167335386954723668-4.880064445139318492232560537810743826215007896162651964131124027288564529153638995856380609911335465e-83j
36      REP       -3.915911501326768414562768051201469026896454816153830409526108132832648740162858085856640518492765199e-82-0.3055290879493440360375886210974149040093992875353793108206702467933917405485172493530859207653512495j  -0.09334802358315800306017319693110258988637094019194627001879122194932171227546969168591058101418677042+2.392849738981428143594734844138149040013460207051119338675685935059614049141800877552552470813333083e-82j
38      LOST      9.740760689557643421237421450625951085202361678197911420580503154623429874318289909902552779196923138e-83-0.3054112631193549571439882100190354122637715048531271396762399852899629593659106566116046051498023718j   -0.09327603964015986542755822995288898085379877513013366957264365272586717411410673463661797183387745398-5.949876051882317726471518967150558698137866302084073708052189938825281052775176727966740546067153572e-83j
40      LOST      -4.619497351529068411342097845449175634864654695496302029217124754858249796261631260657476089864532406e-81-0.3054907235063205016571192849180912227531925497318670084619473982022067460831935659982648549345129353j  -0.09332458214841516149827258729205829938243882349906467009660378339350087280366383557317318243453689052+2.822427176308292961854581403109627399132456675564262394975416546678050894915355998058988664459327886e-81j
